"Writer Name","Novel Name","Genre","Final Word Count","Average Per Day","Winner","index","url"
"wordweaver","Novel: Not Yet Titled","Genre:","1793","59","","387","http://nanowrimo.org/participants/wordweaver/novels/not-yet-titled-989455/stats"
"wordweaver","Novel: Overdue III: The Final Horror","Genre: Horror/Supernatural","39640","1,321","","388","http://nanowrimo.org/participants/wordweaver/novels/overdue-iii-the-final-horror/stats"
"wordweaver","Novel: Son of Overdue","Genre:","3537","117","","389","http://nanowrimo.org/participants/wordweaver/novels/son-of-overdue/stats"
"wordweaver","Novel: Overdue","Genre:","0","0","","390","http://nanowrimo.org/participants/wordweaver/novels/overdue/stats"
"WSpinale","Novel: It's top secret...until the powers to be tell me I can le...","Genre: Steampunk","26022","867","","391","http://nanowrimo.org/participants/wspinale/novels/it-s-top-secret-until-the-powers-to-be-tell-me-i-can-let-you-all-know/stats"
"WSpinale","Novel: If You Could Hear Me Speak","Genre: Young Adult","50575","1,685","Winner!","392","http://nanowrimo.org/participants/wspinale/novels/if-you-could-hear-me-speak/stats"
"Alexandris","Novel: Untitled","Genre: Fantasy","379","12","","393","http://nanowrimo.org/participants/alexandris/novels/untitled-945670/stats"
"Alexandris","Novel: The First Chroma","Genre: Fantasy","0","0","","394","http://nanowrimo.org/participants/alexandris/novels/the-first-chroma/stats"
"ambrella","Novel: The Rolodex of Geoffrey Gables","Genre:","1579","52","","395","http://nanowrimo.org/participants/ambrella/novels/the-rolodex-of-geoffrey-gables-943770/stats"
"DinosaurDooDoo","Novel: The Worn Trilogy: Into the Forest","Genre: Fantasy","3653","121","","396","http://nanowrimo.org/participants/dinosaurdoodoo/novels/the-worn-trilogy-into-the-forest/stats"
"DinosaurDooDoo","Novel: No Title Yet","Genre: Science Fiction","0","0","","397","http://nanowrimo.org/participants/dinosaurdoodoo/novels/no-title-yet-538655/stats"
"gakernes","Novel: Border of Tomorrow","Genre: Young Adult","4861","162","","398","http://nanowrimo.org/participants/gakernes/novels/border-of-tomorrow/stats"
"irlangel","Novel: Without Conviction","Genre: Literary","50398","1,679","Winner!","399","http://nanowrimo.org/participants/irlangel/novels/without-conviction/stats"
"irlangel","Novel: Fracture","Genre: Fantasy","50678","1,689","Winner!","400","http://nanowrimo.org/participants/irlangel/novels/fracture-807527/stats"
"irlangel","Novel: Utter Significance","Genre: Literary","50437","1,681","Winner!","401","http://nanowrimo.org/participants/irlangel/novels/utter-significance/stats"
"irlangel","Novel: Tales of LightYonder","Genre: Fantasy","16025","534","","402","http://nanowrimo.org/participants/irlangel/novels/tales-of-lightyonder/stats"
"jenniferkate","Novel: Rumor Has It","Genre: Young Adult","7049","234","","403","http://nanowrimo.org/participants/jenniferkate/novels/rumor-has-it-835179/stats"
"jenniferkate","Novel: A Deal With God","Genre: Young Adult & Youth","23000","766","","404","http://nanowrimo.org/participants/jenniferkate/novels/a-deal-with-god/stats"
"Jessbear84","Novel: Wind, Fire, and Packers","Genre: Personal","51213","1,707","Winner!","405","http://nanowrimo.org/participants/jessbear84/novels/wind-fire-and-packers/stats"
"JWhiteFang","Novel: Dream Journal","Genre:","3538","117","","406","http://nanowrimo.org/participants/jwhitefang/novels/dream-journal-943074/stats"
"JWhiteFang","Novel: Words, Magic, and Other Such Nonsense","Genre:","11504","383","","407","http://nanowrimo.org/participants/jwhitefang/novels/words-magic-and-other-such-nonsense/stats"
"KDSUNFLOWERS","Novel: Thirty Days Hath September","Genre: Young Adult","472","15","","408","http://nanowrimo.org/participants/kdsunflowers/novels/thirty-days-hath-september-916976/stats"
"KDSUNFLOWERS","Novel: Untitled","Genre: Young Adult","850","28","","409","http://nanowrimo.org/participants/kdsunflowers/novels/untitled-791757/stats"
"kicksandgiggles","Novel: Star-Crossed!","Genre: Fanfiction","50267","1,675","Winner!","410","http://nanowrimo.org/participants/kicksandgiggles/novels/star-crossed-816334/stats"
"krkausen","Novel: The Talisman","Genre: Fantasy","50415","1,680","Winner!","411","http://nanowrimo.org/participants/krkausen/novels/the-talisman-857935/stats"
"lynxzpanther","Novel: Misc","Genre: Young Adult","19050","635","","412","http://nanowrimo.org/participants/lynxzpanther/novels/misc-879211/stats"
"lynxzpanther","Novel: Wingfall","Genre: Horror/Supernatural","50233","1,674","Winner!","413","http://nanowrimo.org/participants/lynxzpanther/novels/wingfall/stats"
"lynxzpanther","Novel: Youth","Genre: Young Adult & Youth","22029","734","","414","http://nanowrimo.org/participants/lynxzpanther/novels/youth-357498/stats"
"lynxzpanther","Novel: Reaper","Genre: Young Adult & Youth","50500","1,683","Winner!","415","http://nanowrimo.org/participants/lynxzpanther/novels/reaper-316564/stats"
"melissacroce","Novel: Speak Now","Genre: Romance","4455","148","","416","http://nanowrimo.org/participants/melissacroce/novels/speak-now-977805/stats"
"melissacroce","Novel: Merely a Madness","Genre: Romance","13014","433","","417","http://nanowrimo.org/participants/melissacroce/novels/merely-a-madness/stats"
"melissacroce","Novel: Longer Ways to Go","Genre: Mainstream Fiction","50195","1,673","Winner!","418","http://nanowrimo.org/participants/melissacroce/novels/longer-ways-to-go/stats"
"MsHannaBSmith","Novel: American Meadow","Genre: Horror/Supernatural","1614","53","","419","http://nanowrimo.org/participants/mshannabsmith/novels/american-meadow/stats"
"MsHannaBSmith","Novel: Untitled","Genre: Young Adult","0","0","","420","http://nanowrimo.org/participants/mshannabsmith/novels/untitled-932471/stats"
"New Apollo","Novel: Watashi no Kokoro Wa Dō?","Genre: Young Adult","3503","116","","421","http://nanowrimo.org/participants/new-apollo/novels/watashi-no-kokoro-wa-do/stats"
"pbtoejam05","Novel: First novel Re-write","Genre: Fantasy","1231","41","","422","http://nanowrimo.org/participants/pbtoejam05/novels/first-novel-re-write/stats"
"pbtoejam05","Novel: And Then There Was...","Genre: Fantasy","1516","50","","423","http://nanowrimo.org/participants/pbtoejam05/novels/and-then-there-was-590351/stats"
"pbtoejam05","Novel: Working Title","Genre: Fantasy","50104","1,670","Winner!","424","http://nanowrimo.org/participants/pbtoejam05/novels/working-title-353872/stats"
"pbtoejam05","Novel: Untitled","Genre: Urban fantasy","13178","439","","425","http://nanowrimo.org/participants/pbtoejam05/novels/novel-188660/stats"
"pbtoejam05","Novel: Dragons","Genre: young adult urban fantasy","59974","1,999","Winner!","426","http://nanowrimo.org/participants/pbtoejam05/novels/dragons-13891/stats"
"pbtoejam05","Novel: The Rune Protector Book 3","Genre: Fantasy","50117","1,670","Winner!","427","http://nanowrimo.org/participants/pbtoejam05/novels/the-rune-protector-book-3/stats"
"pbtoejam05","Novel: The Rune Protector Book 2","Genre: Fantasy","50275","1,675","Winner!","428","http://nanowrimo.org/participants/pbtoejam05/novels/the-rune-protector-book-2/stats"
"pbtoejam05","Novel: The Rune Protector Book 1","Genre: Fantasy","58322","1,944","Winner!","429","http://nanowrimo.org/participants/pbtoejam05/novels/the-rune-protector-book-1/stats"
"sniccolls","Novel: Untitled","Genre: Fantasy","9561","318","","430","http://nanowrimo.org/participants/sniccolls/novels/untitled-945714/stats"
"StardustStorm","Novel: This Silence Is Mine","Genre: Fanfiction","3095","103","","431","http://nanowrimo.org/participants/starduststorm/novels/this-silence-is-mine/stats"
"Torturedwriting","Novel: Endless","Genre: Young Adult","74705","2,490","Winner!","432","http://nanowrimo.org/participants/torturedwriting/novels/endless-912271/stats"
"@Erin_Havel","Novel: Continuation Exile","Genre:","0","0","","433","http://nanowrimo.org/participants/erin_havel/novels/continuation-exile/stats"
"@Erin_Havel","Novel: Exile (Book 1 of Star Beings series)","Genre: Fantasy","50736","1,691","Winner!","434","http://nanowrimo.org/participants/erin_havel/novels/exile-book-1-of-star-beings-series/stats"
"@Erin_Havel","Novel: The Malformation of Health Care","Genre: Memoir","0","0","","435","http://nanowrimo.org/participants/erin_havel/novels/the-malformation-of-health-care/stats"
"allireapandsow","Novel: As We Know It","Genre: Young Adult","50230","1,674","Winner!","436","http://nanowrimo.org/participants/allireapandsow/novels/as-we-know-it-883349/stats"
"amberkell","Novel: Quentin Heart - Vampire Bounty Hunter","Genre: Fantasy","38000","1,266","","437","http://nanowrimo.org/participants/amberkell/novels/quentin-heart-vampire-bounty-hunter/stats"
"Ashley Daniele","Novel: 2015 Nano","Genre: Adventure","0","0","","438","http://nanowrimo.org/participants/ashley-daniele/novels/2015-nano/stats"
"astridsdream","Novel: The Far South","Genre: Fantasy","20173","672","","439","http://nanowrimo.org/participants/astridsdream/novels/the-far-south/stats"
"astridsdream","Novel: The Wind Waker: Broken","Genre: Fantasy","50025","1,667","Winner!","440","http://nanowrimo.org/participants/astridsdream/novels/the-wind-waker-broken/stats"
"astridsdream","Novel: Ket's Journey","Genre: Fantasy","50017","1,667","Winner!","441","http://nanowrimo.org/participants/astridsdream/novels/ket-s-journey/stats"
"astridsdream","Novel: Jade and Steel","Genre: Fantasy","18833","627","","442","http://nanowrimo.org/participants/astridsdream/novels/jade-and-steel/stats"
"astridsdream","Novel: Saki's Journey","Genre: Adventure","55161","1,838","Winner!","443","http://nanowrimo.org/participants/astridsdream/novels/saki-s-journey/stats"
"authorperson","Novel: The Market","Genre: Young Adult","0","0","","444","http://nanowrimo.org/participants/authorperson/novels/the-market-1008611/stats"
"authorperson","Novel: The Market","Genre: Young Adult","7831","261","","445","http://nanowrimo.org/participants/authorperson/novels/the-market-584584/stats"
"Blushingwriter","Novel: Snowy Temptation","Genre: Romance","54617","1,820","Winner!","446","http://nanowrimo.org/participants/blushingwriter/novels/snowy-temptation/stats"
"Blushingwriter","Novel: The Right Man","Genre: Romance","9794","326","","447","http://nanowrimo.org/participants/blushingwriter/novels/the-right-man/stats"
"Boupie","Novel: The end of the middle class","Genre:","8613","287","","448","http://nanowrimo.org/participants/boupie/novels/the-end-of-the-middle-class/stats"
"Boupie","Novel: Ministry Business","Genre: Fantasy","54094","1,803","Winner!","449","http://nanowrimo.org/participants/boupie/novels/ministry-business/stats"
"Boupie","Novel: Untitled","Genre:","1196","39","","450","http://nanowrimo.org/participants/boupie/novels/novel-253603/stats"
"Boupie","Novel: Edge of the Universe","Genre: Science Fiction","50092","1,669","Winner!","451","http://nanowrimo.org/participants/boupie/novels/edge-of-the-universe/stats"
"Boupie","Novel: Untitled","Genre:","50236","1,674","Winner!","452","http://nanowrimo.org/participants/boupie/novels/novel-986539/stats"
"Boupie","Novel: Death or not","Genre: Horror/Supernatural","52000","1,733","Winner!","453","http://nanowrimo.org/participants/boupie/novels/death-or-not/stats"
"Boupie","Novel: Untitled","Genre:","30000","1,000","","454","http://nanowrimo.org/participants/boupie/novels/novel-986530/stats"
"CairennRhys","Novel: Untitled","Genre: Horror/Supernatural","28433","947","","455","http://nanowrimo.org/participants/cairennrhys/novels/untitled-836123/stats"
"CairennRhys","Novel: Whispers Under The Veil","Genre: Non-Fiction","61316","2,043","Winner!","456","http://nanowrimo.org/participants/cairennrhys/novels/whispers-under-the-veil/stats"
"CairennRhys","Novel: Marching For Camelot","Genre: Religious, Spiritual & New Age","55208","1,840","Winner!","457","http://nanowrimo.org/participants/cairennrhys/novels/marching-for-camelot/stats"
"Caisidorhpa","Novel: Love Potion 187: An Alien Ace Detective Mystery","Genre: Mystery","0","0","","458","http://nanowrimo.org/participants/caisidorhpa/novels/love-potion-187-an-alien-ace-detective-mystery/stats"
"Caisidorhpa","Novel: Kaleidoscope","Genre: Adventure","1667","55","","459","http://nanowrimo.org/participants/caisidorhpa/novels/kaleidoscope5/stats"
"CAPav","Novel: Landing Zoned","Genre: Science Fiction","50009","1,666","Winner!","460","http://nanowrimo.org/participants/capav/novels/landing-zoned/stats"
"CAPav","Novel: Outta Here","Genre: Science Fiction","52320","1,744","Winner!","461","http://nanowrimo.org/participants/capav/novels/outta-here-795386/stats"
"CAPav","Novel: Ariadne's Dread","Genre: Science Fiction","50516","1,683","Winner!","462","http://nanowrimo.org/participants/capav/novels/ariadne-s-dread/stats"
"CAPav","Novel: Off Leash Lakeside","Genre: Science Fiction","50183","1,672","Winner!","463","http://nanowrimo.org/participants/capav/novels/off-leash-lakeside/stats"
"CAPav","Novel: 2020","Genre: Science Fiction","50791","1,693","Winner!","464","http://nanowrimo.org/participants/capav/novels/2020-166253/stats"
"CAPav","Novel: Labyrinth Hunter","Genre: Literary Fiction","51116","1,703","Winner!","465","http://nanowrimo.org/participants/capav/novels/labyrinth-hunter/stats"
"Darkotter's Kosher Bacon","Novel: When the Queen Comes","Genre: Fantasy","81704","2,723","Winner!","466","http://nanowrimo.org/participants/darkotter-s-kosher-bacon/novels/when-the-queen-comes/stats"
"Darkotter's Kosher Bacon","Novel: A rewrite of a nano from a couple years ago (Half-goal at...","Genre: Adventure","6239","207","","467","http://nanowrimo.org/participants/darkotter-s-kosher-bacon/novels/a-rewrite-of-a-nano-from-a-couple-years-ago-half-goal-attempt/stats"
"Darkotter's Kosher Bacon","Novel: A Novel About Myths and Winter","Genre: Fantasy","22236","741","","468","http://nanowrimo.org/participants/darkotter-s-kosher-bacon/novels/a-novel-about-myths-and-winter/stats"
"Darkotter's Kosher Bacon","Novel: Moonlight","Genre: Young Adult & Youth","50001","1,666","Winner!","469","http://nanowrimo.org/participants/darkotter-s-kosher-bacon/novels/moonlight-197203/stats"
"Darkotter's Kosher Bacon","Novel: Masks","Genre: Fantasy","56750","1,891","Winner!","470","http://nanowrimo.org/participants/darkotter-s-kosher-bacon/novels/masks/stats"
"dlindle","Novel: Working title: The Big Break","Genre: Young Adult","20085","669","","471","http://nanowrimo.org/participants/dlindle/novels/working-title-the-big-break/stats"
"dlindle","Novel: Out of the Dark, a Deimos Chronicle","Genre: Romance","47827","1,594","","472","http://nanowrimo.org/participants/dlindle/novels/out-of-the-dark-a-deimos-chronicle-691952/stats"
"dlindle","Novel: Tales of the Deimos: Out of the Dark","Genre: Urban Fantasy","22792","759","","473","http://nanowrimo.org/participants/dlindle/novels/tales-of-the-deimos-out-of-the-dark/stats"
"ElizaWyatt","Novel: Good Intentions","Genre: Fantasy","13570","452","","474","http://nanowrimo.org/participants/elizawyatt/novels/good-intentions-816840/stats"
"ElizaWyatt","Novel: The Myriad Adventures of Miss Dehlia and Other Curiosities","Genre: Steampunk","44655","1,488","","475","http://nanowrimo.org/participants/elizawyatt/novels/the-myriad-adventures-of-miss-dehlia-and-other-curiosities/stats"
"ElizaWyatt","Novel: Good Intentions","Genre: Fantasy","18501","616","","476","http://nanowrimo.org/participants/elizawyatt/novels/good-intentions-353679/stats"
"ElizaWyatt","Novel: Painted (The Forever Series #1)","Genre: Fantasy","52487","1,749","Winner!","477","http://nanowrimo.org/participants/elizawyatt/novels/painted-the-forever-series-1/stats"
"ElizaWyatt","Novel: The Artificer's Demon","Genre: Steampunk","50018","1,667","Winner!","478","http://nanowrimo.org/participants/elizawyatt/novels/the-artificer-s-demon/stats"
"ElizaWyatt","Novel: The Artificer's Angels (second half)","Genre: Steampunk","35000","1,166","","479","http://nanowrimo.org/participants/elizawyatt/novels/the-artificer-s-angels-second-half/stats"
"ElizaWyatt","Novel: The Artificer's Angels","Genre: Steampunk","52000","1,733","Winner!","480","http://nanowrimo.org/participants/elizawyatt/novels/the-artificer-s-angels/stats"
"ElizaWyatt","Novel: Blue Crystal","Genre: Fantasy","50500","1,683","Winner!","481","http://nanowrimo.org/participants/elizawyatt/novels/blue-crystal-394819/stats"
"Frozen_in_Tyme","Novel: The Tea Shoppe (Fayland Tales: Book 1)","Genre: Fantasy","1862","62","","482","http://nanowrimo.org/participants/frozen_in_tyme/novels/the-tea-shoppe-fayland-tales-book-1/stats"
"Frozen_in_Tyme","Novel: Untitled","Genre:","52019","1,733","Winner!","483","http://nanowrimo.org/participants/frozen_in_tyme/novels/untitled-360549/stats"
"Frozen_in_Tyme","Novel: Untitled","Genre: Horror & Supernatural","68240","2,274","Winner!","484","http://nanowrimo.org/participants/frozen_in_tyme/novels/untitled-219783/stats"
"Frozen_in_Tyme","Novel: A Collection of Short Stories","Genre: no idea","48321","1,610","","485","http://nanowrimo.org/participants/frozen_in_tyme/novels/a-collection-of-short-stories-132042/stats"
"fyca","Novel: BANG","Genre: Young Adult","50047","1,668","Winner!","486","http://nanowrimo.org/participants/fyca/novels/bang-844209/stats"
"fyca","Novel: Lesbian Merit Badges","Genre: Young Adult","50094","1,669","Winner!","487","http://nanowrimo.org/participants/fyca/novels/lesbian-merit-badges/stats"
"fyca","Novel: The Darkness of You - the rewrite!","Genre: Mainstream Fiction","50100","1,670","Winner!","488","http://nanowrimo.org/participants/fyca/novels/the-darkness-of-you-the-rewrite/stats"
"fyca","Novel: Duets","Genre:","50133","1,671","Winner!","489","http://nanowrimo.org/participants/fyca/novels/duets/stats"
"fyca","Novel: Sans Titre","Genre: Mystery, Thriller & Suspense","50046","1,668","Winner!","490","http://nanowrimo.org/participants/fyca/novels/sans-titre1/stats"
"fyca","Novel: Our Time Has Come","Genre: Fanfiction","60000","2,000","Winner!","491","http://nanowrimo.org/participants/fyca/novels/our-time-has-come/stats"
"fyca","Novel: The Darkness of You","Genre:","50000","1,666","Winner!","492","http://nanowrimo.org/participants/fyca/novels/the-darkness-of-you/stats"
"fyca","Novel: 30 Stories","Genre:","50000","1,666","Winner!","493","http://nanowrimo.org/participants/fyca/novels/30-stories-605592/stats"
"fyca","Novel: Tennie on the Trail","Genre: Young Adult","50000","1,666","Winner!","494","http://nanowrimo.org/participants/fyca/novels/tennie-on-the-trail/stats"
"fyca","Novel: Beulah Land","Genre: Historical","50000","1,666","Winner!","495","http://nanowrimo.org/participants/fyca/novels/beulah-land-605598/stats"
"fyca","Novel: The 29th Year","Genre:","50000","1,666","Winner!","496","http://nanowrimo.org/participants/fyca/novels/the-29th-year/stats"
"JaxFost","Novel: Arrow","Genre: Adventure","32849","1,094","","497","http://nanowrimo.org/participants/jaxfost/novels/arrow-840850/stats"
"jelliott93","Novel: Going Under","Genre: Horror/Supernatural","23454","781","","498","http://nanowrimo.org/participants/jelliott93/novels/going-under-847365/stats"
"Jonah ER Loeb","Novel: Proleterra","Genre: Science Fiction","83344","2,778","Winner!","499","http://nanowrimo.org/participants/jonah-er-loeb/novels/proleterra/stats"
"Judydawn","Novel: Breaking The Vault","Genre: Science Fiction","15212","507","","500","http://nanowrimo.org/participants/judydawn/novels/breaking-the-vault/stats"
"Judydawn","Novel: Silver Cabin","Genre: Fantasy","1524","50","","501","http://nanowrimo.org/participants/judydawn/novels/silver-cabin/stats"
"Judydawn","Novel: Cyberpunk Robin Hood","Genre: Science Fiction","12109","403","","502","http://nanowrimo.org/participants/judydawn/novels/cyberpunk-robin-hood/stats"
"juliawester","Novel: Not Yet Titled","Genre: Young Adult","654","21","","503","http://nanowrimo.org/participants/juliawester/novels/not-yet-titled-962645/stats"
"kalekim","Novel: For Her","Genre:","0","0","","504","http://nanowrimo.org/participants/kalekim/novels/for-her-994087/stats"
"kalekim","Novel: Knock Three Times","Genre: Personal","6475","215","","505","http://nanowrimo.org/participants/kalekim/novels/knock-three-times-657043/stats"
"kalekim","Novel: He, She, You and Me","Genre:","5997","199","","506","http://nanowrimo.org/participants/kalekim/novels/he-she-you-and-me/stats"
"KinoFou","Novel: Bullet Tears","Genre: Young Adult","0","0","","507","http://nanowrimo.org/participants/kinofou/novels/bullet-tears/stats"
"kittypan","Novel: The Hollow","Genre: Young Adult","50411","1,680","Winner!","508","http://nanowrimo.org/participants/kittypan/novels/the-hollow-898762/stats"
"kittypan","Novel: Pemberton's Peculiar Trinkets and Tidbits","Genre: Fantasy","21151","705","","509","http://nanowrimo.org/participants/kittypan/novels/pemberton-s-peculiar-trinkets-and-tidbits/stats"
"KlaraKim","Novel: Maker's Mark/Others","Genre: Fantasy","56566","1,885","Winner!","510","http://nanowrimo.org/participants/klarakim/novels/maker-s-mark-others/stats"
"KlaraKim","Novel: Klara Kim and the Meaning of Life","Genre: Creative Non-fiction","51000","1,700","Winner!","511","http://nanowrimo.org/participants/klarakim/novels/klara-kim-and-the-meaning-of-life/stats"
"KnottedCord21","Novel: St. Simeon's Southern Church of Christ Disheveled","Genre: Literary","16725","557","","512","http://nanowrimo.org/participants/knottedcord21/novels/st-simeon-s-southern-church-of-christ-disheveled/stats"
"KnottedCord21","Novel: Please Don't Feed the Cats","Genre: Literary","51211","1,707","Winner!","513","http://nanowrimo.org/participants/knottedcord21/novels/please-don-t-feed-the-cats/stats"
"KnottedCord21","Novel: The Care and Feeding of Your Apocalyse","Genre: Science Fiction","17500","583","","514","http://nanowrimo.org/participants/knottedcord21/novels/the-care-and-feeding-of-your-apocalyse/stats"
"KnottedCord21","Novel: Kanani and the Lepers","Genre: Young Adult & Youth","50038","1,667","Winner!","515","http://nanowrimo.org/participants/knottedcord21/novels/kanani-and-the-lepers/stats"
"KnottedCord21","Novel: Untitled","Genre: Young Adult & Youth","1867","62","","516","http://nanowrimo.org/participants/knottedcord21/novels/untitled-novel-12660/stats"
"KnottedCord21","Novel: A Symphony of Cows","Genre: Young Adult & Youth","50075","1,669","Winner!","517","http://nanowrimo.org/participants/knottedcord21/novels/a-symphony-of-cows/stats"
"LadyJustice","Novel: Chinese Days","Genre: Personal","7339","244","","518","http://nanowrimo.org/participants/ladyjustice/novels/chinese-days/stats"
"lunespark","Novel: Tethered","Genre: Young Adult","51504","1,716","Winner!","519","http://nanowrimo.org/participants/lunespark/novels/tethered-884352/stats"
"lunespark","Novel: The Book Club","Genre: Young Adult","6198","206","","520","http://nanowrimo.org/participants/lunespark/novels/the-book-club-790504/stats"
"MDBrannan","Novel: Apostate","Genre: Horror/Supernatural","33026","1,100","","521","http://nanowrimo.org/participants/mdbrannan/novels/apostate-951948/stats"
"Miss Apple","Novel: Hell Becomes You","Genre: Young Adult","500","16","","522","http://nanowrimo.org/participants/miss-apple/novels/hell-becomes-you/stats"
"Miss Apple","Novel: Wrath on Earth","Genre: Young Adult & Youth","15064","502","","523","http://nanowrimo.org/participants/miss-apple/novels/wrath-on-earth/stats"
"Miss Apple","Novel: HEAVEN HELP ME","Genre: Romance","44136","1,471","","524","http://nanowrimo.org/participants/miss-apple/novels/heaven-help-me/stats"
"morvegan","Novel: The Lake","Genre: Literary","5000","166","","525","http://nanowrimo.org/participants/morvegan/novels/the-lake-853575/stats"
"MrLasers","Novel: The Ultimate Adventures of Spearmint Wonderful × Cyborg W...","Genre: Adventure","1926","64","","526","http://nanowrimo.org/participants/mrlasers/novels/the-ultimate-adventures-of-spearmint-wonderful-x-cyborg-wizard-shark-vs-dinosaurs-on-the-moon/stats"
"NW_Rose","Novel: Turning Like A Twister","Genre: Women's Fiction","25000","833","","527","http://nanowrimo.org/participants/nw_rose/novels/turning-like-a-twister/stats"
"otakubookworm123","Novel: The Reality of Caroline Rhodes","Genre: Young Adult","50169","1,672","Winner!","528","http://nanowrimo.org/participants/otakubookworm123/novels/the-reality-of-caroline-rhodes/stats"
"otakubookworm123","Novel: Through the Phone","Genre: Young Adult","57333","1,911","Winner!","529","http://nanowrimo.org/participants/otakubookworm123/novels/through-the-phone/stats"
"otakubookworm123","Novel: The Witch of Imagination","Genre: Romance","50081","1,669","Winner!","530","http://nanowrimo.org/participants/otakubookworm123/novels/the-witch-of-imagination/stats"
"Tamsin_Silver","Novel: The Curse of Billy the Kid","Genre: Fantasy","51015","1,700","Winner!","531","http://nanowrimo.org/participants/tamsin_silver/novels/the-curse-of-billy-the-kid/stats"
"Tamsin_Silver","Novel: The Mark of the Necromancer: A Sabrina Grayson Novel","Genre: Fantasy","60730","2,024","Winner!","532","http://nanowrimo.org/participants/tamsin_silver/novels/the-mark-of-the-necromancer-a-sabrina-grayson-novel/stats"
"Tamsin_Silver","Novel: Duality of Surrender","Genre: Romance","72388","2,412","Winner!","533","http://nanowrimo.org/participants/tamsin_silver/novels/duality-of-surrender/stats"
"Tamsin_Silver","Novel: The Clandestine Conflict - The NYC Division","Genre: Fantasy","57507","1,916","Winner!","534","http://nanowrimo.org/participants/tamsin_silver/novels/the-clandestine-conflict-the-nyc-division/stats"
"Tamsin_Silver","Novel: The Cameron Chronicles","Genre: Fantasy","52747","1,758","Winner!","535","http://nanowrimo.org/participants/tamsin_silver/novels/the-cameron-chronicles/stats"
"Tamsin_Silver","Novel: Moon Over Manhattan","Genre: Fantasy","75648","2,521","Winner!","536","http://nanowrimo.org/participants/tamsin_silver/novels/moon-over-manhattan/stats"
"starleaf","Novel: Never A Word","Genre: Thriller/Suspense","1104","36","","537","http://nanowrimo.org/participants/starleaf/novels/never-a-word/stats"
"starleaf","Novel: Underground","Genre: Young Adult & Youth","50443","1,681","Winner!","538","http://nanowrimo.org/participants/starleaf/novels/underground-474133/stats"
"starleaf","Novel: Fleeting","Genre: Fantasy","20105","670","","539","http://nanowrimo.org/participants/starleaf/novels/fleeting-270008/stats"
"starleaf","Novel: Fleeting","Genre: Fantasy","25000","833","","540","http://nanowrimo.org/participants/starleaf/novels/fleeting-522166/stats"
"starleaf","Novel: Jade","Genre: Fantasy","51000","1,700","Winner!","541","http://nanowrimo.org/participants/starleaf/novels/jade-522154/stats"
"spinflight","Novel: Wow It's The Same Novel I've Been Writing For Four Years","Genre: Young Adult","0","0","","542","http://nanowrimo.org/participants/spinflight/novels/wow-it-s-the-same-novel-i-ve-been-writing-for-four-years/stats"
"spinflight","Novel: yeah it's still the same one as the last three years","Genre: Young Adult","10048","334","","543","http://nanowrimo.org/participants/spinflight/novels/yeah-it-s-still-the-same-one-as-the-last-three-years/stats"
"spinflight","Novel: My Sell Out High Fantasy Novel: Book One (of Seventy-Seven)","Genre: Fantasy","16473","549","","544","http://nanowrimo.org/participants/spinflight/novels/my-sell-out-high-fantasy-novel-book-one-of-seventy-seven/stats"
"spinflight","Novel: (the forest story)","Genre: Fantasy","8249","274","","545","http://nanowrimo.org/participants/spinflight/novels/the-forest-story/stats"
"spinflight","Novel: spin's sell out high fantasy novel","Genre: Fantasy","10200","340","","546","http://nanowrimo.org/participants/spinflight/novels/spin-s-sell-out-high-fantasy-novel/stats"
"spinflight","Novel: Untitled","Genre:","0","0","","547","http://nanowrimo.org/participants/spinflight/novels/novel-848395/stats"
"spinflight","Novel: Untitled","Genre:","0","0","","548","http://nanowrimo.org/participants/spinflight/novels/novel-848394/stats"
"spinflight","Novel: Untitled","Genre:","50000","1,666","Winner!","549","http://nanowrimo.org/participants/spinflight/novels/novel-848393/stats"
"spinflight","Novel: Untitled","Genre:","50000","1,666","Winner!","550","http://nanowrimo.org/participants/spinflight/novels/novel-848391/stats"
"spinflight","Novel: Untitled","Genre:","0","0","","551","http://nanowrimo.org/participants/spinflight/novels/novel-848390/stats"
"spinflight","Novel: Untitled","Genre:","0","0","","552","http://nanowrimo.org/participants/spinflight/novels/novel-848389/stats"
"sandersen","Novel: Untitled","Genre:","50058","1,668","Winner!","553","http://nanowrimo.org/participants/sandersen/novels/novel-880656/stats"
"sandersen","Novel: Nano 2014","Genre: Fantasy","50769","1,692","Winner!","554","http://nanowrimo.org/participants/sandersen/novels/nano-2014-663357/stats"
"sandersen","Novel: The Kidnappings","Genre: Mystery, Thriller & Suspense","50097","1,669","Winner!","555","http://nanowrimo.org/participants/sandersen/novels/the-kidnappings-498633/stats"
"sandersen","Novel: Nano 2012","Genre:","50026","1,667","Winner!","556","http://nanowrimo.org/participants/sandersen/novels/nano-2012-348554/stats"
"sandersen","Novel: Oceanica","Genre: Fantasy","50112","1,670","Winner!","557","http://nanowrimo.org/participants/sandersen/novels/oceanica/stats"
"sandersen","Novel: The Empress of Other","Genre:","50594","1,686","Winner!","558","http://nanowrimo.org/participants/sandersen/novels/the-empress-of-other/stats"
"sandersen","Novel: Death","Genre:","50005","1,666","Winner!","559","http://nanowrimo.org/participants/sandersen/novels/death-663417/stats"
"sandersen","Novel: Cleo the Vamp","Genre:","100000","3,333","Winner!","560","http://nanowrimo.org/participants/sandersen/novels/cleo-the-vamp/stats"
