,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL
0,31,,"Amy Tan, Neil Gaiman, R.R. Martin, Frank Delaney, Tamora","Classical and Instrumental, Tibetain chants, and oddly, Industrial","Drawing, Weightlifting, politics, activism, Disney trivia",Fresno,Vice Chair of Trans-E-Motion,,
0,,,,,"Reading fanfiction and manga, listening to music, watching Criminal Minds and to many anime to count.",,,,
0,24,September 25,,"Depends on what I'm writing, honestly. If it's a cheerful story, you'll hear me humming along to Disney.","writing, reading, traveling","Fresno, CA","Waitress by day, aspiring writer by",,
0,,,,OST,"reading, writing, ""kicks and giggles""-ing","California, USA",,,
0,17,June 11,"James Dashner, Jennifer",Industrial,"Writing, reading, drawing","Exeter, California",Student,,
0,20,,"Extremely Loud and Incredibly Close (Jonathan Safran Foer), The Wise Man's Fear (Patrick Rothfuss), Harry Potter series (JK Rowling),, Dizzy (Cathy Cassidy), and anything/all by Rainbow Rowell (but esp. Carry On &","Bastille, Dessa, and Grizfolk. Also my Passenger channel on Pandora.","listening to excessive amounts of music, sleeping, and hiding at the back of my closet","Glenside, PA",student,,
0,,,,,,Seattle,,,
0,20,October 31,"Students that post their theses online, Foucault (Ethics, Subjectivity and Truth), Kierkegaard (Works of Love), Audre Lorde (Sister Outsider), Angela Y. Davis (Women, Race and Class), Sun Tzu (Art of","Neue Deustche Harte, American rap, New Wave Instrumental, Riot Grrl, EDM","Existentialism, cynicism, absurdism, esoterica.","Half of me is in Wonderland, the other half in Neverland, though my corporeal bo",,,
0,19,,"R. A. Salvatore, J. R. R. Tolkien, Elizabeth George Speare, and Julie",Vocaloids. And electronic instrumentals. Yeah. It's like that.,"This, apparently. And video games.",Fresno,College student,,
0,,,"Transformation, the Dresden novels, the Pendragon series, the Dark Tower series, Rob Thurman, Melanie Rawn, Jim Butcher, Carol Berg, Joel Rosenberg, Stephen King, George R R Martin, D. J.",when i'm really concentrating any music i'm listening to fades into the background,"reading, drawing, running, photography","Formally Rogers, AR USA, Now Sydney, Australia",,,
0,24,,"Patricia Briggs, Tamora Pierce, Rick Riordan, John Green, Mercedes Lackey, Cassandra Clare, JK","Celtic, Disney, or Country",Reading and Writing,"Fresno, California",Student/Resident Advisor,,
0,37,,,Queen,,,,,
0,,,,Korn,"Writing, kids, korn, my chemical romance",Fresno,Verizon,,
0,,,"Epics, Fantasy, Historical Fiction, YA, anything with an unexpected spin",,"Writing of all kinds-- blogs, novels, plays, music, lyrics.",Seattle,,,
0,,,"Chaos Walking, The Outsiders, Harry Potter, and many many many (repeat as needed)","Sleeping At Last, Twenty One Pilots, and Legend of Zelda soundtracks","Singing/songwriting, reading, hiking, and eating cereal.","Seattle, Washington",Student at SPU,,
0,,,,alternative,"writing, playing with my kids, video games",Seattle,,,
0,,,"J.K. Rowling, Alyson Noel, Edgar Allen Poe, Richelle Mead, William Goldman, Shel Silverstein, R.L. Stine, (I have so many favorite authors I'm only listing the ones I can think","I love writing to soundtracks from movies and anime. Anything dramatic. Harry Potter and Jurassic Park soundtracks, mostly.","Makeup, journaling, reading, writing, going to concerts, listening to music, and social media websites.",Seattle,Makeup artist,,
0,,,"Temeraire, The Name of the Wind, Lord of the Rings, Incarceron, Naomi Novik, Pat Rothfuss, N.K.",lyric-less music,"Magic The Gathering, Legend of the Five Rings, alone time",Near Seattle,Mom,Municipal Liaison,
0,,,,"Classical, electronic pop","Orange cats, daydreaming, writing","Seattle, WA",,,
0,,,"Gone with the Wind, Harlequin Desire/Blaze Novels, Chelsea Cain, JT Ellison & Lisa Jackson",Pandora Station Classical for Studying,"Writing, Reading, Spending time with my twins","Maple Valley, WA",Production Scheduling and Procurement Manager,,
0,32,,"Currently,The End of Mr Y, I, Mona Lisa, The Historian, anything by Jasper Fforde, Christopher Moore or Jane","Guster, Mumford and Sons, Adele","Reading (duh), crocheting and kniting, quilting and sewing, baking, hosting parties and dinners, cooking, exploring new places with my DH","Vacaville, CA",Educator,,
0,,,"Emerson, Hemingway, King, Gibran,","Smooth Jazz, Classic Rock","Painting, photography",,"Spiritual Author, Poet, Essayist, Freelance Writer",,
0,,,,,...,"Seattle, WA",Human Resources... Catalyst...,,
0,,,,"The Darcys, Angels & Airwaves, Hammock, Pink Floyd, Alan Parsons Project","Archaeoastronomy, travel, labyrinths","San Rafael, CA USA",,,
0,18,,"Brian Jacques, Tamora Pierce, J.K. Rowling, Terry",Anything that Youtube has,"writing, reading, procrasticating, college","Spam Forums, among the dusty bones of deceased threads",Growing up,,
0,,,Jane Austen; J.R.R. Tolkien; Patricia Briggs; Rick Riordan; J. K. Rowling; Neil,French bistro,Facilities Management,Seattle,"Mom, Wife, Playwright, Teaching Artist, Budding Novelist",,
0,31,,"A Game of Thrones (George R.R. Martin), American Gods (Neil Gaiman), Bridge of Birds (Barry Hughart), Midnight Nation (J. Michael Straczynski)... Ect., George R.R. Martin, Neil Gaiman, William Shakespeare, Bill Watterson, Mark Oakley... Again,","This book's lineup is a bit dark and punky, with a note of optimism The Offspring, Skillet, Seether, Breaking Benjamin, Disturbed. I made a pandora station of those bands. :)","3d character design, art, sculpture, role play, martial arts... Really, it's all about writing, one way or another.","Edmonds, Wa",PHP Programmer,,
0,,,"LotR Trilogy, Harry Potter Series, Wheel of Time Series, Red As Blood, The Vampire Lestat, All Things Sherlock Holmes, All Things King Arthur & the Knights of the Roundtable, J. R. R. Tolkien, Tanith","Globus, Coheed & Cambria, Apocalyptica, Doctor Who Soundtrack, Hunger Games Soundtrack, The Village Soundtrack, Cirque Du Soleil Music, Pan's Labyrinth Soundtrack","Acting, Singing, Dancing, Reading, Drawing, Costume Design",San Francisco,student/ actor/ writer/ editor,,https://www.classy.org/fundraise?fcid=534661
0,,,"Anna Karenina, Persuasion, Lolita, What I Loved, The Children's Book, Austen, Nabokov, Tolstoy,",silence is golden,,Seattle,ESL Instructor,,
0,31,,"Blue Like Jazz, Traveling Mercies, The Great Gatsby, Sisterhood of the Traveling Pants,","James Vincent McMorrow, Gungor, Ray LaMontagne, The Civil Wars, Needtobreathe","Running, Reading, Writing, Guitar, Songwriting","Renton, WA",Stay-at-home parent,,
0,,,,,,,,,
0,,August 7,,Tom Waits,"Cartooning, sharing movies with my kids.","Seattle, WA",Stay-at-home,,
0,,,The Magic of Recluse,They Might Be Giants,,"Redmond, WA",Novelist,,
0,,,,,,,,,
0,,,"Toni Morrison, John Steinbeck, Michael Ondaatje, Lois-Ann",,"Dance, Running, Reading, Movies, Design, Letterpress",Seattle,,,
0,,,"Night Film, Neil Gaiman, Chuck",movie scores,,"Seattle, Washington","Film industry person, writer, dog walker",,
0,21,December 16,"So many. So, so",,"Reading, writing, gaming","Liverpool, England",Student,,
0,36,,"JK Rowling (Harry Potter), Gail Carriger (The Parasol Protectorate, Finishing School), Bill Willingham (Fables), Terry Pratchett (Discworld), Neil Gaiman (Neverwhere, American Gods, Sandman, short stories), Jo Walton","Ludovico Einaudi, Nox Arcana, Yuki Kajiura, ES Posthumus, Lindsey Stirling, Symphonic metal","Writing, reading, knitting, spinning, Steampunk, gaming","Seattle, WA",Writer,,
0,,,"Robin McKinley, Anne Lamott, Eva Ibbotson, J.K. Rowling, Betty MacDonald, Beverly Cleary, Connie Willis, Terry","None while writing; at other times, Loreena McKennitt, Enya, Celtic Woman, J.S. Bach, Bobby McFerrin, Pink Martini, Keith & Kristyn Getty, Michael Card","Baking, running, cleaning, reading, yoga.",,,,
0,,September 19,,Jazz,"Running, soccer, karaoke, international travel, wine tasting,","Seattle, WA",Legal aid,,
0,16,,"Harry Potter, Stargirl, Fangirl, Little Women, The Penderwicks on Gardam Street, A Wrinkle in Time, The Fault in Our Stars, and many, many,",Indie!!!!!!,"Reading, drawing, singing, playing piano, watching TV, and going on Tumblr.","Washington, United States",Aspiring writer/artist and Christian.,,
0,,,"J.R.R. Tolkein, Robert Service, Jack London, Ernset",Americana,"Hiking, bouldering, martial arts, camping",Seattle,Photographer,,
0,,September 21,"Count of Monte Cristo, Tale of Two Cities, On Art and Nature, Daring to Dream trilogy, Nora Roberts, John Keats, John",Classical & Alternative Rock,"Dancing, Fashion Design, WRITING!",Seattle-Everett,Writer/Editor,,http://www.classy.org/MissApple
0,,,,,,"Seattle, WA",,,
0,,,,,,"Seattle, WA",,,
0,27,,,"Alt Folk, Americana, Country, Alt Country, Alt/Folk Rock","Writing(is that one obvious?), crochet, crafts, putting one foot in front of the other","Renton, WA",,,
0,,,"you can't be serious,",alternative / indie,"reading, writing, running, jogging, yoga","san jose, ca",high school student / part-time writer,,
0,,July 26,"The Mortal Instrument Series, Sweep Series, Rangers Apprentice Series, Harry Potter Series, Cassandra Clare, Cate Tiernan, John Flanagan, J.K.",Either instrumentals like E.S. Posthumus or Goth/Industrial/EBM (SanctuaryRadio.com or Pandora Radio Station VNV Nation Mix),"I do a lot here in NYC but I think my top interests are my dog, writing, reading, dancing, movies, music, meeting new people and Crime Drama TV shows.","New York, NY",Billing Compliance Coordinator for Pharmacy Informatics at a hospital,,
0,25,,,,,"Astoria, New York",,,
0,,,"lloyd alexander, joanna rose, zelazny, jeff noon, jellicoe road, leslie marmon silko, matt ruff, donald","silence, electronica, classical","seeking direct sunlight, sleeping in camp chairs, throwing or watching things that fly, the oregon country fair, real camping, sailing on other people's boats, eating candy instead of meals, staying up too late, trying to figure out what's going on",shoreline,wageslave,,
0,,,,,,"Olympia, WA",,,
0,,,,Current-novel-themed playlists,"Origami, Running","Brooklyn, NY",Software,,
0,,,"P.G. Wodehouse, Agatha Christie, Nancy Mitford, Edith Wharton, Jane Austen, John Mortimer, Enid",Classic FM,"Art, Ballet, Books",NYC,Writer,,
0,,,,"punk rock, classical","learning new skills/languages, traveling, sports",upon request,upon,,
0,37,December 2,"Sherrilyn Kenyon (Dark-Hunter, CoN, Belador Series), Gena Showalter (LOTU, White Rabbit Chronicles, Angels of the Dark), Kallypso Masters (rescue Me series), JR Ward (BDB), Eloisa James, Ann Mayburn, JK Rowling, Lisa Kleypas, Michelle Reid, Nicole Jordan, Stephenie Meyer, Robin","Depends on what Im writting, but mostly Trailer music (Two steps from hell, X-Ray Dog, Methodic Doubt, Audiomachine, Future world, & more). Also a lot of pop-rock, funk, alternative","Read, Listen music, RPing, Writing, writing, writing and more writting!!",Venezuela,,,
0,,,"Good Omens, the Harry Potter series, The Amazing Adventures of Kavalier and Clay, Jonathan Strange and Mr. Norrell, House of Leaves, the Gemma Doyle trilogy, still",painstakingly created iMixes which I then don't really hear.,"tumblr, Sailor Moon, Doctor Who, Ace Attorney, movies, hockey, music",back in the New York groove!,student (maybe) and perpetual retail slave,,
0,,,"Even Cowgirls get the Blues, Big Trouble, The Stand, Possessing the Secret of Joy., Joe R Lansdale, Stephen King, Alice Walker, Richard Matheson, Max","Jonathan Coulton, Johnny Cash, They Might Be Giants, Guardians of the Galaxy Soundtrack","Movies, Walking, Obsessing","New York, NY",Never what I want it to be.,,
0,,,"Child 44, most things by Stephen","Everything that strikes a scene - mostly jazz, rock, alternative, classical, you name it.","Work, computers, walking around, my friends",New York,,,
0,28,,,,,"Toronto, Canada",Graphic,,
0,,,"Stranger in a Strange Land, American Gods, Jonathan Strange and Mr Norrell, Anna Karenina, Heinlein, Gaiman, Tolkien,",,"Reading, Computers, Food, Genealogy, Hearing other people's personal stories.",Madison NJ,,,
0,,,"Peter Devries, Terry","nerdcore, punk","robots, food, languages, politics","Brooklyn, NY",,,
0,,,Octavia Butler/ Chuck Palahniuk/ 1984/ bell hookz/ Jeffrey,Frank Ocean The Weeknd Erykah Badu Fiona Apple,Lurking with various deities. Sushi whore.,HARLEM NY,Event planner. Door girl. Good time seeker. In my free time I enjoy botany.,,
0,,,"gaudy night, whose body, murder of roger ackroyd, pride & prejudice, jonathan strange & mr. norrell, pattern recognition, the difference engine, the diamond age, dorothy l. sayers, neil gaiman, jane austen, george eliot, agatha","Classical- no words, or else I get massively distracted!",,NYC,Literary agent,,
0,,,"This is very difficult. How about authors I'd like to learn from? Octavia Butler, Rachel Pollack, Andre Norton, Joan Sloncewski, Zenna Henderson, Jim Butcher, Elizabeth Bear, Seanan McGuire, Charles Stross, Tamora Pierce, Mercedes Lackey, Alice Hoffman, Mur Lafferty, Caitlin R. Kiernan, Samuel R. Delaney, Elizabeth","Soundtracks mostly. If it's fast going, Tron music works, if it's slower, Upstream Color is best. If I'm looking for space, I have Mass Effect. If I'm looking for something wilder, I have Skyrim.","Reading all the books, playing most of the video games, making far too many terrible jokes","Brooklyn, NY","Freelance Writer, Content Manager, Game Designer",Municipal Liaison,
0,,,"The Lord of the Rings Trilogy, The Vampire Armand, MacBeth , JRR Tolkien, R.A. Salvatore, Neil","Punk, Metal, Rock, Pop, Cartoon Theme songs","crochet, plush making, music, knitting, spinning",New York City,Market Reasearch Analyst,,
0,,,,Scores and Celtic Music,Movies,,,,
0,,,,,,Quill Café,Aspiring,,
0,,,"Viktor Pelevin, Umberto Eco, John Fowles, PG",Beirutnights.com,reading and beading,"Chicago, Illinois",,,
0,,,"""The Chronicles of Narnia"" series by C.S. Lewis; ""The Harry Potter"" series by J.K. Rowling; ""A Song of Ice and Fire"" series by George RR Martin; John Berendt; and, Greek",I prefer either the quiet or having friends nearby.,"Commentary, teaching and reading, reading, reading","New York, USA| Lefkada, Greece",I work in the ad-tech industry.,,
0,,,"Emile Zola,John Fowles,Daniel Pennac,Italo Calvino,Stefano Benni, Peter","Jordi Savall/Hesperion XXI, Oysterband, Ian Anderson,","photography,computers","New York NY, USA",Software developer,,
0,34,,"The Lord of the Rings, A Song of Ice and Fire (series), anything by Stephen",,Reading about philosophy and cosmology. Video Games. Films. TV shows.,"Harrow, London, UK",Civil Servant,Municipal Liaison,
0,,,"Manifestation by Jason Cantrell, Please Don't Tell My Parents I'm a Supervillain by Richard","Lindsey Stirling, electric violin, Chameleon Circuit, Bond, Blue Stahli, The Piano Guys",,South Jersey,,,
0,40,March 19,"The Bell Jar, Oranges are not the Only Fruit, Anansi Boys, The Book With No Name, To Kill a Mocking Bird, Choke, High Fidelity, His Dark Materials, Crash, Naked Lunch, JG Ballard, Philip Pullman, The Austen, Anne Rice, Neil Gaiman, Chuck Palahniuk, Nick Hornby,",TV in the background and the tapping paws of fluffy things wanting attention.,Watching Superhero movies and crisp eating.,Essex,Psychotherapist and Tutor,,
0,,,"JK Rowling, John Green, John",Anything that keeps me from going insane and keeps me typing,Singing in the shower and being laughed at by my fellow students,Middle of Nowhere,Theological Student,,
0,,,various and,stuff that was cool in 1997,"travel, crafts, drinks","London, UK",stories,,
0,,,"Robert Jordan, Terry Pratchett, Patrick",Relaxation music.,"Reading, writing, sewing, tea and cake,",London,Retail assistant.,,
0,,,,Vince Guaraldi,,"Orpington, Kent, UK",,,
0,26,,"Sergei Lukyanenko, David Brin, Terry Pratchett, Isaac Asimov, Joey Comeau, Arthur C. Clarke, John","Rasputina, The Veronicas, Amanda Palmer, Lady Essence, Alyssa Marie, Taylor Swift, Sleigh Bells","Reading (obviously), board gaming","London, UK",Civil Servant (Department for Education),,
0,30,,"Player of Games, To Kill a Mocking Bird, Memoirs of a Geisha, Of Mice and Men, Julie Kagawa, Terry Pratchett, Iann M",Any soft music *guilty pleasure is currently pitch perfect one and two*,"Reading, writing, drawing, painting, sewing, cross stitch",Manchester,Full time mummy,,
0,,,,"MOR indie, usually REM","Writing, thinking, badminton, reviewing, Twitter (@NickMB).",London,"Part-time writer, part-time IT Crowd",,
0,,,"John Green, Harry Potter","AllCaps, Hank Green, East End Radio","Ukulele, YouTube, Art",London,Freelance writer,,
0,,December 3,Jonathan Strange and Mr,Depends how far behind I am,Procrastination,Guernsey,Very grown up and boring,,
0,,,,,,,,,
0,,,,Absolute quiet works best for me,"Reading, Writing, Painting, Sewing, Printing","Hampshire, UK",Freelance,,
0,,,,,,,,,
0,,,Tess,,Football. Painting. Reading.,London.,,,
0,,,"Anne of Green Gables, Pendragon Series, Harry Potter, Chronicle of Narnia, Time Traveler's Wife, Jane Austen, Shakespeare, Marian Keyes, Dianna Gabaldon, Kit Pearson, Cecilia Ahern, Lucy Maud","I have a playlist of songs that I've found I can write with. My current favourite is basically the entire soundtrack to the tv show ""Nashville"".","Teaching, Singing, reading, knitting, cooking, cross stitch,","Richmond, BC",Teacher,,
0,,,"J.K Rowling, Suzanne Collins, Janet","Pink, Musicals, Glee, Adam Lambert","Reading, Writing, Music, Travel",New Zealand,Nurse,,
0,,,"Harry Potter, The Chronicles of Narnia, Kidnapped, Oliver Twist, Neverwhere, American Gods, Goodnight Mister",Alternative; instrumental soundtracks,"TV, films, reading","London, England",Graduate,,
0,,,"The Chronicles of Narnia, the Sally Lockhart series, The Wind In the Willows, the Velveteen Rabbit.......",,"photography, hiking/walking, park-hopping....","Thompson, Manitoba",Teacher,,
0,,,"Dune, The Canterbury Tales, The Rings of Saturn, Homer, Plutarch's Lives, Lucian, Sophocles, Aristophanes, Impro by Keith Johnstone, Martial. I realise how pretentious this list","Dark ambient/techno style music (Actress, Burial, Klara Lewis, patten) because the mood of my nano project is definitely ""wallowing.""","Sitting in coffee shops reading (convenient practise), inventing stories with other people, tai chi and wasting time on the internet (inconvenient practise)","London, UK. Occasionally San Francisco.",Data wrangler,,
0,,,,It's a fatal distraction,"Guitar, poker, LARP, comedy, collecting vinyl",Walthamstow,,,
0,33,,"My fave books include - the graveyard book, the twilight saga, the hobbit, the goth girl series, Heaven's eyes, Skellig and many more. My fave authors inc - Neil Gaiman, Chris Riddell James Patterson, siegfried sassoon, wilfred owen, willam blake, w.h. auden, willaim wordsworth, william","hard rock and soppy songs, classical","Reading, cooking, writing, editing, history",huddersfield west yorkshire,freelance poet and writer,,
0,,,"Tolstoy - Anna Karenina,Margaret Atwood - Cat's Eye,F Scott Fitzgerald - Tender is the Night, Haruki Murakami - Kafka on the Shore, Haruki Murakami,Clive Barker,Storm",Dead Can Dance,"Gothic Clothing,Surreal Horror Films - e.g. Dario Argento,World Cinema.",Scotland,Writer and clothing designer.,,http://www.vamptasypublishing.co.uk
0,29,November 27,"Richard Adams 'Watership Down', Stephen King 'The Stand', Val McDermid 'A Place of Execution', Lewis Carroll 'Alice in Wonderland', Elizabeth Mock 'Children of Men', Michael Grant 'Gone', Erin Morgenstern 'The Night",,"Reading, cinema-going, ebaying, photography...ing.","London, UK",Charity Administrator - Case Adviser,,
0,30,,Adventure Time. I know it's not a book shut,,"Buying books, putting books on shelves, thinking how good it would be to read one of them.",London,,,
0,,,"Russell Hoban; Neil Gaiman; Eva Ibbotson; Tove Jansson, China Mieville, TH White, Sally Gardner, Rebecca","Amanda Palmer, Nick Cave, sea sounds/white noise.",,London E1,Freelance digital content writer and social media adviser,,
0,,,"Neil Gaiman, Terry Pratchett, James Thurber, Phillipa Gregory, Kazuo Ishiguro, George R.R","Anything without words, otherwise I just start singing!",,,,,
0,23,,"Arthur C. Clarke, Iain (M) Banks, JK Rowling, John Scalzi, Ann",,,South East England,Software engineer,,
0,,,"recently reading some A S Byatt and Iris Murdoch, and a bit of Catherine Fox and Laurie R",silence,haven't had a lot of time for these in the last three years - something I hope to remedy asap,London,,,
0,,,,,,"Camden, London",Co-manager of a book,,
0,,,"Tolkien, Sansom,",,"Gardening, Sewing","Portsmouth, UK",,,
0,35,,"Atwood, Montgomery, Austen, Rowling, Quinn, Pullman, Alcott, Pratchett, Clements, Ishiguru, Wynne-Jones,","Panic! At the Disco, Kings of Convenience, Barenaked Ladies, Iron & Wine, Ani DiFranco, Regina Spektor, Feist, Poesi, Postal Service, Fun., Patrick Stump, Soundtracks, Musicals, anything Christmas!","Reading, Tweeting, Traveling, Sewing, Podficcing, Baking, Blogging, Petting my cats :)","London, UK",Tax Consultant,,
0,,,"Tolkien, Asimov, Ian M Banks, Elllis Peters, Ed","Uriah Heep, Steely Dan, Eagles or John Barry","photography, music, books",Enfield,IT Consultant,,
0,,,,She + Him,,London,,,
0,32,,"There's always too many. David Gemmell first and foremost for the most powerful heroic fantasy I've read, but many many others form the core from which I draw from. Sometimes I think my writing is just speaking with Belgarath's voice, or Richard Rahl's passion, or the subtle desperate power of Allanon. Sometimes it's Fitz's hearth, or Korendir's lonely castle, or that blazing sky of wonder from my dreams. But it's always alive - it has to be, for channelling life is what we","Trance, ambient, rain, random rock songs or pop that I will never own up to!",Magic...and Wonder!,Londinium,Rawr! G'narrgh!,,
0,61,,,,Science; Quora; the internet; reading everything in sight; art and craft; crochet; cycling.You can find me on Ravelry as fairyhedgehogg.,"Epsom, Surrey, England",Retired. Or between jobs. I'm not sure,,
0,,,Jamilah,,,London,,,
0,,,"Any Christopher Sansom or Christopher Brookmyre; Sarah Waters; Persuasion; The Tenant of Wildfell Hall; The English Patient; Gone With the WInd;, Kate Atkinson; Agatha Christie; Christopher Sansom; Jasper Fforde; Jane Austen; Emily and Anne Bronte; Chuck",none,"Theatre, yoga, running, history",North London (Barnet),Teacher,,
0,,,"Zettels Traum (Schmidt), L'Étranger (Camus), Korrektur (Bernhard), Middlesex (Eugenides), Unica Zürn, Arno Schmidt, Thomas Bernhard, Albert Camus, Peter Handke, Ingeborg Bachmann, Franz Kafka, Baudelaire, Aragon, Italo Svevo, Verlaine, Mallarmé, Robert Desnos, Flaubert , Edgar Allan Poe, Jeffrey Eugenides, Paul Auster, Margaret Atwood, Jacques Derrida, Jacques Lacan, Pierre Klossowski, Conan Doyle, Georges Simenon, Raymond Chandler, Ruth Rendell, Agatha Christie (of course! though preferably the Miss Marple stories ;) etc.","Debussy, Ravel, Michael Nyman, Albinoni, Telemann, Stravinsky, Edvard Grieg, Jean Sibelius, Arvo Pärt, Dead Can Dance, Jean Ferrat, Jacques Brel, Cat Stevens (Yusuf), Garou, Enya, Whitney Houston, Elvis Costello, Aznavour, Razorlight, Schiller, Artemis, Tori Amos, Leonard Cohen, John Lennon, Röyksopp","mountain hiking, swimming, travelling, books, art, film","Wien, Vienna, Austria",Writer,,
0,,,"Iain Banks, Neal Stephenson, Hunter S",The Clash,,London,Computer Programmer,,
0,,,,,Can procrastinating count as a hobby?,London,,,
0,19,,"Douglas Adams, Maggie Stiefvater, Kate Thompson, CS Lewis, JRR Tolkein, Markus Zusak, Jonathan Stroud, Stephen Lawhead, Marcus Sedgewick, Philip Reeve, Garth Nix, William Nicholson, Eoin Colfer, Tom Holt, Terry Pratchett, Neil Gaiman, Holly",,"reading, dancing, music, sleeping, vlogging",The Land Of The Sidhe,"Iron Man, Student, Book Reviewer",,
0,33,,,"Film trailer scores (audiomachine, immediate music) soundtracks, Chill (DAB radio), BBC Radio 2","eating out, scrabble, swimming, badminton, tenpin bowling, writing, reading, music, science fiction, british comedy, knitting/crochet","Walthamstow, London, UK",Civil,Municipal Liaison,
0,,May 15,"Virginia Woolf (The Waves, To the Lighthouse, Mrs Dalloway), Jeanette Winterson (Powerbook, The Passion, Lighthousekeeping), Haruki Murakami (1Q84, After the Quake, What I talk about when I talk about running), Donna Tartt (The Secret History), Isobelle Carmody (Obernewtyn chronicles), Evelyn Waugh (Brideshead",Depends on what i'm writing but you can't go wrong with Yann Tiersen.,"Other than writing yoga, running, photography, watching movies, travel, salsa dancing, learning languages.",London,Project Manager/Architect,,
0,,,"Corelli's Mandolin, Middlesex, the Corrections, High Fidelity, Cloud Atlas, Water Music, Momo, Maus, The Great Brain, Nick Hornby, David Berman, Lynda Barry, Jonathan Lethem, George","Blake Mills, Cory Branan, Bahamas, Danny Elfman","Coffee, fonts, documentaries about anything, sports highlights videos, people-watching, graphic design, this American Life, the BBC, Australia, Paris, Scotland, Germany, the white tented terminals at the Denver International Airport, staying up late, sushi, the smell of new car tires, notes strangers write to each other, gummi candies, Indian food.","Berkeley, CA",,,
0,,,"Pride and Prejudice, Ender's Game, Wicked, Harry Potter ... , Robin Hobb, Guy Gavriel Kay, Jane Austen, Orson Scott Card","Filk, Celtic, folk, classic","knitting, rpg, reading, writing, avoiding paying the rent...",North West London,Web Editor,,
0,27,,"Jodi Picoult, Karen Kingsbury, Brock & Bodie Thoene, Lesley Pearse, Suzanne",Christian Rock,"Reading, Scrapbooking, Knitting, Music","Winnipeg, MB",Teacher,,
0,,,"Paranormal Novels, Sherrilyn Kenyon, Anne Bishop, Lara Adrian, Stieg Larsson, Richelle",,"Listening to music, dancing, photography, reading, obbsessing over things..",United Kingdom,,,
0,,,"Paul Auster, JK",Classical or heavy metal. Everything else becomes distracting after a while :),"Traveling, dancing, meeting new people, of course reading and writing, baking! (is coffee a hobbie?)",London,,,
0,29,,"Douglas Adams, Dodie Smith, Ngaio","U2, Lady Gaga, Wolf Parade, Arctic Monkeys","soccer, tennis, movies","Augusta, Georgia, USA",French teacher,,
0,,,"John Irving, David Nicholls, Danny Wallace, Stephen King, Stephen Poliakoff, Steven Moffat & quite a few others not called Stephen or",Various (very wide taste),"Writing, Travelling, Good Food&Drink","Saltford, Bath",A self employed electronics systems test engineer.,,
0,26,August 23,"Dickens, Pratchett, Austen,",Deathly silence,"Writing music, playing music, Nintendo, reading Internet comics","Camden Town, for now",Finance-ish,Municipal Liaison,
0,29,,"The Dispossessed, Neverwhere, The Handmaid's Tale, The Liveship Traders, The Ship Who Sang, Fahrenheit 451, Dragonsinger, His Dark Materials. Ursula K. Le Guin, Anne McCaffrey, Neil Gaiman, Robin Hobb, Margaret Atwood, Terry","They Might Be Giants, Simon and Garfunkel, The Beatles, R.E.M. and anything instrumental.","Reading, Being Silly, Hanging Out With Friends, Kittens, Chocolate, Baking, Learning New Words, Discussing Politics, Singing Out Of Tune, Talking in General.","London, UK",Data Analyst,,
0,,,,mostly I write in silence...interspersed with howls of pain,"Textile arts, especially hand embroidery","Brighton, UK",,,
0,,,"Karen Chance, Terry Goodkind, Tom Holt, Laurie Notaro, Terry Prachett, Shel Silverstein and Whoever is responsible for the Twi FF ""The List"" (because I doubt her name is really Laura",Am in desperate needs of writing playlists - all scene type lists welcome!,"This month? I expect they will consist solely of consuming too many homemade baked goods, gently prodding my cats off my laptop, and mentally cursing the trackpad for not registering my finger strokes...","an American in London, England",Project Manager,,
0,21,,"J.R.R. Tolkien, Bernard Werber, Anne Rice, David Gemmel, Christopher Paolini, J.K.",la BO du Seigneur des Anneaux,"lire, écrire, sport, jeux vidéo","Itteville, Essonne, France",étudiante / traductrice,,
0,,,"Maupassant, Balzac, Flaubert, Zola, Pennac, Kafka, Kundera, Tolstoï, Boulgakov, Tanizaki J., Sôseki, Murakami H.,Inoue",,"Littérature (XIXè / XXè siècles, Europe/Asie), écriture (contes, nouvelles), randonnée, fitness, cuisine.","Paris, France",,,
0,24,September 9,Too,Classical music,"Reading, writing, to go cycling, imagining new worlds, watching TV and cooking",Paris,Wasting my life,,
0,,,,,,,,,
0,,,"Wuthering Heights, Dune, The Cider House Rules, King Lear, Frank Herbert, Neil Gaiman, John","Pendulum, Various OSTs, Juno Reactor, Kajiura Yuki","Weight-lifting, squash, drawing, books","Edinburgh, Scotland",,,
0,,,,,"Ecriture, RPG, Lecture, Dessin, Musique",France,,,
0,,,,Hozier - Arsonist's Lullaby,Cinéma,"Orléans, France",,,
0,,,"Jane Austin, Ernest Hemmingway, and John Green","Bastille, 3 doors down,","Running, writing, watching Netflix",New York,Educator,,
0,,,,"Rock, pop, métal, punk, rap, OST, chiptune, variété old-school, jazz, classique, dance... Absolument de tout, selon le feeling et les besoins du moment.","Cinéma, Jeux vidéo, Ratons laveurs.",Paris,apprentie,,
0,,,"Jane Austen, JRR Tolkien, Louis Aragon, Saint-John",None,"Horseriding, dancing, running, tramping",Paris,Web and Print Editor,,
0,,,,,,,,,
