,Writer Name,Member Length,LifetimeWordCount,url,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL,Expected Final Word Count,Expected Daily Average,CURRENT WINNER,Current Donor,Wins,Donations,Participated,Consecutive Donor,Consecutive Wins,Consecutive Part,Part Years,Win Years,Donor Years,Num Novels,Expected Num Submissions,Expected Avg Submission,Expected Min Submission,Expected Min Day,Expected Max Submission,Expected Max Day,Expected Std Submissions,Expected Consec Subs,FW Total,FW Sub,FH Total,FH Sub,SH Total,SH Sub
116,New Apollo,0.166666666667,0,http://nanowrimo.org/participants/New-Apollo,19,,"R. A. Salvatore, J. R. R. Tolkien, Elizabeth George Speare, and Julie",Vocaloids. And electronic instrumentals. Yeah. It's like that.,"This, apparently. And video games.",Fresno,College student,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,3503,2,3503,2,3503,2
117,pbtoejam05,6,283486,http://nanowrimo.org/participants/pbtoejam05,,,"Transformation, the Dresden novels, the Pendragon series, the Dark Tower series, Rob Thurman, Melanie Rawn, Jim Butcher, Carol Berg, Joel Rosenberg, Stephen King, George R R Martin, D. J.",when i'm really concentrating any music i'm listening to fades into the background,"reading, drawing, running, photography","Formally Rogers, AR USA, Now Sydney, Australia",,,,40498,1349.93333333,0,0,5,0,7,0,3,6,"[2007, 2009, 2010, 2011, 2012, 2013, 2014]","[2007, 2009, 2010, 2011, 2013]",[],7,10.1428571429,870.267847369,151.142857143,10.7142857143,2016,7.85714285714,538.682656062,9,942,2,942,2,942,2
118,sniccolls,0.166666666667,0,http://nanowrimo.org/participants/sniccolls,24,,"Patricia Briggs, Tamora Pierce, Rick Riordan, John Green, Mercedes Lackey, Cassandra Clare, JK","Celtic, Disney, or Country",Reading and Writing,"Fresno, California",Student/Resident Advisor,,,,,0,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,7561,7,7561,7,7561,7
119,StardustStorm,0.333333333333,0,http://nanowrimo.org/participants/StardustStorm,37,,,Queen,,,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,3095,3,3095,3,3095,3
120,Torturedwriting,0.166666666667,0,http://nanowrimo.org/participants/Torturedwriting,,,,Korn,"Writing, kids, korn, my chemical romance",Fresno,Verizon,,,,,1,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,18416,7,18416,7,18416,7
121,@Erin_Havel,1,50736,http://nanowrimo.org/participants/erin_havel,,,"Epics, Fantasy, Historical Fiction, YA, anything with an unexpected spin",,"Writing of all kinds-- blogs, novels, plays, music, lyrics.",Seattle,,,,25368,845.6,0,0,1,0,2,0,1,1,"[2012, 2014]",[2014],[],2,12.5,1057,492,9.5,2541,1,391.544644113,12,0,0,0,0,0,0
122,allireapandsow,0.166666666667,0,http://nanowrimo.org/participants/allireapandsow,,,"Chaos Walking, The Outsiders, Harry Potter, and many many many (repeat as needed)","Sleeping At Last, Twenty One Pilots, and Legend of Zelda soundtracks","Singing/songwriting, reading, hiking, and eating cereal.","Seattle, Washington",Student at SPU,,,,,1,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,12790,7,12790,7,12790,7
123,amberkell,4,0,http://nanowrimo.org/participants/amberkell,,,,alternative,"writing, playing with my kids, video games",Seattle,,,,,,0,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,9042,6,9042,6,9042,6
124,Ashley Daniele,2,0,http://nanowrimo.org/participants/Ashley-Daniele,,,"J.K. Rowling, Alyson Noel, Edgar Allen Poe, Richelle Mead, William Goldman, Shel Silverstein, R.L. Stine, (I have so many favorite authors I'm only listing the ones I can think","I love writing to soundtracks from movies and anime. Anything dramatic. Harry Potter and Jurassic Park soundtracks, mostly.","Makeup, journaling, reading, writing, going to concerts, listening to music, and social media websites.",Seattle,Makeup artist,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,0,0,0,0,0,0
125,astridsdream,5,174036,http://nanowrimo.org/participants/astridsdream,,,"Temeraire, The Name of the Wind, Lord of the Rings, Incarceron, Naomi Novik, Pat Rothfuss, N.K.",lyric-less music,"Magic The Gathering, Legend of the Five Rings, alone time",Near Seattle,Mom,Municipal Liaison,,43509,1450.3,0,0,3,1,4,1,2,4,"[2011, 2012, 2013, 2014]","[2011, 2013, 2014]",[2011],4,17.5,2697.24305888,926.25,18,6395.25,17.75,1559.14744206,15.25,8883,5,8883,5,8883,5
126,authorperson,1,7831,http://nanowrimo.org/participants/authorperson,,,,"Classical, electronic pop","Orange cats, daydreaming, writing","Seattle, WA",,,,7831,261.033333333,0,0,0,0,1,0,0,1,[2014],[],[],1,7,1118.71428571,100,2,3046,5,903.233669227,5,0,0,0,0,0,0
127,Blushingwriter,2,9794,http://nanowrimo.org/participants/Blushingwriter,,,"Gone with the Wind, Harlequin Desire/Blaze Novels, Chelsea Cain, JT Ellison & Lisa Jackson",Pandora Station Classical for Studying,"Writing, Reading, Spending time with my twins","Maple Valley, WA",Production Scheduling and Procurement Manager,,,9794,326.466666667,1,1,0,0,1,0,0,1,[2014],[],[],1,8,1224.25,0,1,2300,15,741.358676688,7,16560,7,16560,7,16560,7
128,Boupie,7,237618,http://nanowrimo.org/participants/Boupie,32,,"Currently,The End of Mr Y, I, Mona Lisa, The Historian, anything by Jasper Fforde, Christopher Moore or Jane","Guster, Mumford and Sons, Adele","Reading (duh), crocheting and kniting, quilting and sewing, baking, hosting parties and dinners, cooking, exploring new places with my DH","Vacaville, CA",Educator,,,39603,1320.1,0,1,4,3,6,1,2,3,"[2007, 2008, 2009, 2011, 2012, 2013]","[2008, 2009, 2011, 2013]","[2008, 2011, 2013]",6,7.5,982.750213128,134,3.5,2700,4.33333333333,715.530538693,6.5,8613,4,8613,4,8613,4
129,CairennRhys,3,116524,http://nanowrimo.org/participants/CairennRhys,,,"Emerson, Hemingway, King, Gibran,","Smooth Jazz, Classic Rock","Painting, photography",,"Spiritual Author, Poet, Essayist, Freelance Writer",,,58262,1942.06666667,0,0,8,4,8,1,2,2,"[2013, 2014, 2013, 2014, 2013, 2014, 2013, 2014]","[2013, 2014, 2013, 2014, 2013, 2014, 2013, 2014]","[2014, 2014, 2014, 2014]",4,13,11419.5072464,41.5,13,28805,21.5,12080.7499687,11,0,0,0,0,0,0
130,Caisidorhpa,11,1667,http://nanowrimo.org/participants/Caisidorhpa,,,,,...,"Seattle, WA",Human Resources... Catalyst...,,,1667,55.5666666667,0,0,0,0,1,0,0,1,[2011],[],[],1,1,1667,1667,1,1667,1,0,0,0,0,0,0,0,0
131,CAPav,5,254926,http://nanowrimo.org/participants/CAPav,,,,"The Darcys, Angels & Airwaves, Hammock, Pink Floyd, Alan Parsons Project","Archaeoastronomy, travel, labyrinths","San Rafael, CA USA",,,,50985.2,1699.50666667,1,0,5,0,5,0,5,5,"[2010, 2011, 2012, 2013, 2014]","[2010, 2011, 2012, 2013, 2014]",[],5,9.8,7230.5450774,318,3.4,25195.4,22.8,8885.67627768,8.2,8600,7,8600,7,8600,7
132,Darkotter's Kosher Bacon,4,135226,http://nanowrimo.org/participants/darkotter-s-kosher-bacon,18,,"Brian Jacques, Tamora Pierce, J.K. Rowling, Terry",Anything that Youtube has,"writing, reading, procrasticating, college","Spam Forums, among the dusty bones of deceased threads",Growing up,,,33806.5,1126.88333333,1,0,2,0,4,0,2,4,"[2011, 2012, 2013, 2014]","[2011, 2012]",[],4,13.25,2379.65930944,14,3,7969,16.5,2105.61109109,9,12247,7,12247,7,12247,7
133,dlindle,3,70619,http://nanowrimo.org/participants/dlindle,,,Jane Austen; J.R.R. Tolkien; Patricia Briggs; Rick Riordan; J. K. Rowling; Neil,French bistro,Facilities Management,Seattle,"Mom, Wife, Playwright, Teaching Artist, Budding Novelist",,,35309.5,1176.98333333,0,0,0,0,2,0,0,1,"[2012, 2014]",[],[],2,7,7117.975,909.5,4,16636,17,5810.99178791,2,10804,5,10804,5,10804,5
134,ElizaWyatt,8,303161,http://nanowrimo.org/participants/ElizaWyatt,31,,"A Game of Thrones (George R.R. Martin), American Gods (Neil Gaiman), Bridge of Birds (Barry Hughart), Midnight Nation (J. Michael Straczynski)... Ect., George R.R. Martin, Neil Gaiman, William Shakespeare, Bill Watterson, Mark Oakley... Again,","This book's lineup is a bit dark and punky, with a note of optimism The Offspring, Skillet, Seether, Breaking Benjamin, Disturbed. I made a pandora station of those bands. :)","3d character design, art, sculpture, role play, martial arts... Really, it's all about writing, one way or another.","Edmonds, Wa",PHP Programmer,,,43308.7142857,1443.62380952,0,0,4,4,7,2,2,7,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2008, 2009, 2011, 2012]","[2008, 2009, 2011, 2012]",7,10.8571428571,1811.37169268,300.285714286,4.28571428571,6991.28571429,8.71428571429,1852.41185274,9.71428571429,9764,6,9764,6,9764,6
135,Frozen_in_Tyme,5,168580,http://nanowrimo.org/participants/Frozen_in_Tyme,,,"LotR Trilogy, Harry Potter Series, Wheel of Time Series, Red As Blood, The Vampire Lestat, All Things Sherlock Holmes, All Things King Arthur & the Knights of the Roundtable, J. R. R. Tolkien, Tanith","Globus, Coheed & Cambria, Apocalyptica, Doctor Who Soundtrack, Hunger Games Soundtrack, The Village Soundtrack, Cirque Du Soleil Music, Pan's Labyrinth Soundtrack","Acting, Singing, Dancing, Reading, Drawing, Costume Design",San Francisco,student/ actor/ writer/ editor,,https://www.classy.org/fundraise?fcid=534661,56193.3333333,1873.11111111,0,1,2,0,3,0,2,3,"[2011, 2012, 2013]","[2012, 2013]",[],3,18.6666666667,3051.22614379,91.6666666667,9.33333333333,9847.33333333,13,2415.98096545,16,1862,1,1862,1,1862,1
136,fyca,10,510373,http://nanowrimo.org/participants/fyca,,,"Anna Karenina, Persuasion, Lolita, What I Loved, The Children's Book, Austen, Nabokov, Tolstoy,",silence is golden,,Seattle,ESL Instructor,,,51037.3,1701.24333333,1,0,10,5,10,3,10,10,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2006, 2009, 2010, 2011, 2013]",10,8.1,1082.79727871,169.3,4.3,2934.3,12.3,760.672970757,6.8,8286,5,8286,5,8286,5
137,JaxFost,0.25,0,http://nanowrimo.org/participants/JaxFost,31,,"Blue Like Jazz, Traveling Mercies, The Great Gatsby, Sisterhood of the Traveling Pants,","James Vincent McMorrow, Gungor, Ray LaMontagne, The Civil Wars, Needtobreathe","Running, Reading, Writing, Guitar, Songwriting","Renton, WA",Stay-at-home parent,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,12217,7,12217,7,12217,7
138,jelliott93,7,0,http://nanowrimo.org/participants/jelliott93,,,,,,,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,9050,5,9050,5,9050,5
139,Jonah ER Loeb,0.166666666667,0,http://nanowrimo.org/participants/Jonah-ER-Loeb,,August 7,,Tom Waits,"Cartooning, sharing movies with my kids.","Seattle, WA",Stay-at-home,,,,,1,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,10278,5,10278,5,10278,5
140,Judydawn,3,13633,http://nanowrimo.org/participants/Judydawn,,,The Magic of Recluse,They Might Be Giants,,"Redmond, WA",Novelist,,,6816.5,227.216666667,0,0,0,0,2,0,0,2,"[2012, 2013]",[],[],2,4,1390.08333334,735,2.5,2130,9,600.02671387,1,8574,7,8574,7,8574,7
141,juliawester,0.166666666667,0,http://nanowrimo.org/participants/juliawester,,,,,,,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,654,1,654,1,654,1
142,kalekim,6,12472,http://nanowrimo.org/participants/kalekim,,,"Toni Morrison, John Steinbeck, Michael Ondaatje, Lois-Ann",,"Dance, Running, Reading, Movies, Design, Letterpress",Seattle,,,,6236,207.866666667,0,0,0,0,2,0,0,1,"[2011, 2014]",[],[],2,7.5,833.044642857,0,1,1993,10.5,582.22595168,4,0,0,0,0,0,0
143,KinoFou,3,0,http://nanowrimo.org/participants/KinoFou,,,"Night Film, Neil Gaiman, Chuck",movie scores,,"Seattle, Washington","Film industry person, writer, dog walker",,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,0,0,0,0,0,0
144,kittypan,2,21151,http://nanowrimo.org/participants/kittypan,21,December 16,"So many. So, so",,"Reading, writing, gaming","Liverpool, England",Student,,,21151,705.033333333,1,0,0,0,1,0,0,1,[2013],[],[],1,11,1922.81818182,610,6,5109,1,1112.4809145,11,26482,7,26482,7,26482,7
145,KlaraKim,1,51000,http://nanowrimo.org/participants/KlaraKim,36,,"JK Rowling (Harry Potter), Gail Carriger (The Parasol Protectorate, Finishing School), Bill Willingham (Fables), Terry Pratchett (Discworld), Neil Gaiman (Neverwhere, American Gods, Sandman, short stories), Jo Walton","Ludovico Einaudi, Nox Arcana, Yuki Kajiura, ES Posthumus, Lindsey Stirling, Symphonic metal","Writing, reading, knitting, spinning, Steampunk, gaming","Seattle, WA",Writer,,,51000,1700,1,1,1,1,1,1,1,1,[2014],[2014],[2014],1,26,1961.53846154,-17144,10,21928,11,5492.63955203,26,18890,7,18890,7,18890,7
146,KnottedCord21,5,170691,http://nanowrimo.org/participants/KnottedCord21,,,"Robin McKinley, Anne Lamott, Eva Ibbotson, J.K. Rowling, Betty MacDonald, Beverly Cleary, Connie Willis, Terry","None while writing; at other times, Loreena McKennitt, Enya, Celtic Woman, J.S. Bach, Bobby McFerrin, Pink Martini, Keith & Kristyn Getty, Michael Card","Baking, running, cleaning, reading, yoga.",,,,,34138.2,1137.94,0,0,3,0,5,0,1,5,"[2010, 2011, 2012, 2013, 2014]","[2010, 2012, 2014]",[],5,11.6,1520.94411027,419.4,4,3177,11,809.863550472,10,11041,6,11041,6,11041,6
147,LadyJustice,0.25,0,http://nanowrimo.org/participants/LadyJustice,,September 19,,Jazz,"Running, soccer, karaoke, international travel, wine tasting,","Seattle, WA",Legal aid,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,0,0,0,0,0,0
148,lunespark,1,6198,http://nanowrimo.org/participants/lunespark,16,,"Harry Potter, Stargirl, Fangirl, Little Women, The Penderwicks on Gardam Street, A Wrinkle in Time, The Fault in Our Stars, and many, many,",Indie!!!!!!,"Reading, drawing, singing, playing piano, watching TV, and going on Tumblr.","Washington, United States",Aspiring writer/artist and Christian.,,,6198,206.6,1,0,0,0,1,0,0,1,[2014],[],[],1,6,1033,0,1,1915,12,630.418643971,0,7728,5,7728,5,7728,5
149,MDBrannan,0.25,0,http://nanowrimo.org/participants/MDBrannan,,,"J.R.R. Tolkein, Robert Service, Jack London, Ernset",Americana,"Hiking, bouldering, martial arts, camping",Seattle,Photographer,,,,,0,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,9411,7,9411,7,9411,7
150,Miss Apple,5,59200,http://nanowrimo.org/participants/Miss-Apple,,September 21,"Count of Monte Cristo, Tale of Two Cities, On Art and Nature, Daring to Dream trilogy, Nora Roberts, John Keats, John",Classical & Alternative Rock,"Dancing, Fashion Design, WRITING!",Seattle-Everett,Writer/Editor,,http://www.classy.org/MissApple,29600,986.666666667,0,1,0,2,2,2,0,2,"[2011, 2012]",[],"[2011, 2012]",2,17.5,1605.53333333,306.5,3,3250,19,888.051743842,16.5,500,2,500,2,500,2
151,morvegan,0.166666666667,0,http://nanowrimo.org/participants/morvegan,,,,,,"Seattle, WA",,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,5000,2,5000,2,5000,2
152,MrLasers,4,0,http://nanowrimo.org/participants/MrLasers,,,,,,"Seattle, WA",,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,1926,4,1926,4,1926,4
153,NW_Rose,0.25,0,http://nanowrimo.org/participants/NW_Rose,27,,,"Alt Folk, Americana, Country, Alt Country, Alt/Folk Rock","Writing(is that one obvious?), crochet, crafts, putting one foot in front of the other","Renton, WA",,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,7039,6,7039,6,7039,6
154,otakubookworm123,2,107414,http://nanowrimo.org/participants/otakubookworm123,,,"you can't be serious,",alternative / indie,"reading, writing, running, jogging, yoga","san jose, ca",high school student / part-time writer,,,53707,1790.23333333,1,0,2,0,2,0,2,2,"[2013, 2014]","[2013, 2014]",[],2,23,1888.54761905,-15798.5,16,11872.5,23,5118.8847418,21.5,9583,6,9583,6,9583,6
155,Tamsin_Silver,5,319020,http://nanowrimo.org/participants/Tamsin_Silver,,July 26,"The Mortal Instrument Series, Sweep Series, Rangers Apprentice Series, Harry Potter Series, Cassandra Clare, Cate Tiernan, John Flanagan, J.K.",Either instrumentals like E.S. Posthumus or Goth/Industrial/EBM (SanctuaryRadio.com or Pandora Radio Station VNV Nation Mix),"I do a lot here in NYC but I think my top interests are my dog, writing, reading, dancing, movies, music, meeting new people and Crime Drama TV shows.","New York, NY",Billing Compliance Coordinator for Pharmacy Informatics at a hospital,,,63804,2126.8,1,0,5,0,5,0,5,5,"[2010, 2011, 2012, 2013, 2014]","[2010, 2011, 2012, 2013, 2014]",[],5,11.6,6114.66444444,0,1,16181.4,21,6247.81516861,8,0,0,0,0,0,0
156,starleaf,7,146548,http://nanowrimo.org/participants/starleaf,25,,,,,"Astoria, New York",,,,36637,1221.23333333,0,0,2,1,4,1,1,2,"[2008, 2010, 2012, 2013]","[2008, 2013]",[2012],4,7.25,1259.06944445,139.75,4,2497,9,661.178164025,5.25,1104,1,1104,1,1104,1
157,spinflight,9,144970,http://nanowrimo.org/participants/spinflight,,,"lloyd alexander, joanna rose, zelazny, jeff noon, jellicoe road, leslie marmon silko, matt ruff, donald","silence, electronica, classical","seeking direct sunlight, sleeping in camp chairs, throwing or watching things that fly, the oregon country fair, real camping, sailing on other people's boats, eating candy instead of meals, staying up too late, trying to figure out what's going on",shoreline,wageslave,,,14497,483.233333333,0,0,2,4,10,3,2,10,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2007, 2008]","[2008, 2009, 2010, 2013]",10,3.8,595.932777777,14,1.2,1303.1,6.6,476.660069181,1.8,0,0,0,0,0,0
158,sandersen,8,453340,http://nanowrimo.org/participants/sandersen,,,,,,"Olympia, WA",,,,56667.5,1888.91666667,1,0,8,2,8,1,8,8,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2008, 2011]",8,3.125,8311.85096154,184.125,1.125,17064.875,13.75,8088.47008125,1.5,0,0,0,0,0,0
159,russodd,8,406430,http://nanowrimo.org/participants/russodd,,,,Current-novel-themed playlists,"Origami, Running","Brooklyn, NY",Software,,,50803.75,1693.45833333,1,1,8,8,8,8,8,8,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",8,13,1010.01960702,174.75,6.25,2080.75,12.625,462.32315084,12,9559,7,9559,7,9559,7
160,Priscale,3,53524,http://nanowrimo.org/participants/Priscale,,,"P.G. Wodehouse, Agatha Christie, Nancy Mitford, Edith Wharton, Jane Austen, John Mortimer, Enid",Classic FM,"Art, Ballet, Books",NYC,Writer,,,17841.3333333,594.711111111,0,0,1,0,3,0,1,3,"[2012, 2013, 2014]",[2012],[],3,8.66666666667,743.38888889,154.666666667,4.33333333333,1888.33333333,2,476.88310613,8,0,0,0,0,0,0
161,plague,2,100740,http://nanowrimo.org/participants/plague,,,,"punk rock, classical","learning new skills/languages, traveling, sports",upon request,upon,,,50370,1679,0,0,2,0,2,0,2,2,"[2013, 2014]","[2013, 2014]",[],2,9.5,5317.13333334,0,1,16687.5,30,4716.4999889,6,6900,2,6900,2,6900,2
162,Mare9548,4,158457,http://nanowrimo.org/participants/Mare9548,37,December 2,"Sherrilyn Kenyon (Dark-Hunter, CoN, Belador Series), Gena Showalter (LOTU, White Rabbit Chronicles, Angels of the Dark), Kallypso Masters (rescue Me series), JR Ward (BDB), Eloisa James, Ann Mayburn, JK Rowling, Lisa Kleypas, Michelle Reid, Nicole Jordan, Stephenie Meyer, Robin","Depends on what Im writting, but mostly Trailer music (Two steps from hell, X-Ray Dog, Methodic Doubt, Audiomachine, Future world, & more). Also a lot of pop-rock, funk, alternative","Read, Listen music, RPing, Writing, writing, writing and more writting!!",Venezuela,,,,39614.25,1320.475,0,0,3,0,4,0,3,4,"[2011, 2012, 2013, 2014]","[2011, 2012, 2013]",[],4,20.25,2098.06308853,169.75,18.5,4113.5,10.75,985.141875239,19.75,8374,5,8374,5,8374,5
163,lilychick,11,7325,http://nanowrimo.org/participants/lilychick,,,"Good Omens, the Harry Potter series, The Amazing Adventures of Kavalier and Clay, Jonathan Strange and Mr. Norrell, House of Leaves, the Gemma Doyle trilogy, still",painstakingly created iMixes which I then don't really hear.,"tumblr, Sailor Moon, Doctor Who, Ace Attorney, movies, hockey, music",back in the New York groove!,student (maybe) and perpetual retail slave,,,2441.66666667,81.3888888889,0,0,0,2,3,1,0,2,"[2011, 2013, 2014]",[],"[2011, 2013]",3,5.33333333333,464.285714286,159.333333333,1.66666666667,1077,2.33333333333,317.95100513,4,0,0,0,0,0,0
164,Lara F,7,253671,http://nanowrimo.org/participants/Lara-F,,,"Even Cowgirls get the Blues, Big Trouble, The Stand, Possessing the Secret of Joy., Joe R Lansdale, Stephen King, Alice Walker, Richard Matheson, Max","Jonathan Coulton, Johnny Cash, They Might Be Giants, Guardians of the Galaxy Soundtrack","Movies, Walking, Obsessing","New York, NY",Never what I want it to be.,,,50734.2,1691.14,1,1,4,4,5,4,4,5,"[2010, 2011, 2012, 2013, 2014]","[2011, 2012, 2013, 2014]","[2010, 2011, 2012, 2013]",5,22.8,1448.80485714,135.6,15.4,2638.2,20,547.351919283,22.4,10235,6,10235,6,10235,6
165,LadyMage,9,610567,http://nanowrimo.org/participants/LadyMage,,,"Child 44, most things by Stephen","Everything that strikes a scene - mostly jazz, rock, alternative, classical, you name it.","Work, computers, walking around, my friends",New York,,,,67840.7777778,2261.35925926,1,0,9,1,9,1,9,9,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",[2011],9,10.1111111111,1041.07609637,287.555555556,9.44444444444,2327.33333333,9.66666666667,482.504507298,8.66666666667,13600,7,13600,7,13600,7
166,kapppz,5,202104,http://nanowrimo.org/participants/kapppz,28,,,,,"Toronto, Canada",Graphic,,,50526,1684.2,0,0,4,2,4,1,4,4,"[2010, 2011, 2012, 2013]","[2010, 2011, 2012, 2013]","[2011, 2013]",4,16,1807.58198052,58.5,6,4904,19.75,1174.74837576,14.25,1871,1,1871,1,1871,1
167,jrkennedy,5,212897,http://nanowrimo.org/participants/jrkennedy,,,"Stranger in a Strange Land, American Gods, Jonathan Strange and Mr Norrell, Anna Karenina, Heinlein, Gaiman, Tolkien,",,"Reading, Computers, Food, Genealogy, Hearing other people's personal stories.",Madison NJ,,,,53224.25,1774.14166667,0,1,4,2,4,1,4,4,"[2011, 2012, 2013, 2014]","[2011, 2012, 2013, 2014]","[2011, 2013]",4,25.75,2086.4284188,126.75,11,5122.75,22,1233.95395157,25.25,1400,7,1400,7,1400,7
168,hershele_ostropoler,6,55202,http://nanowrimo.org/participants/hershele_ostropoler,,,"Peter Devries, Terry","nerdcore, punk","robots, food, languages, politics","Brooklyn, NY",,,,13800.5,460.016666667,1,0,0,0,4,0,0,4,"[2011, 2012, 2013, 2014]",[],[],4,9.5,1125.67200855,-667.5,12.25,4195.75,18.25,1212.68224833,7.75,6612,5,6612,5,6612,5
169,Gia Shakur,3,51600,http://nanowrimo.org/participants/Gia-Shakur,,,Octavia Butler/ Chuck Palahniuk/ 1984/ bell hookz/ Jeffrey,Frank Ocean The Weeknd Erykah Badu Fiona Apple,Lurking with various deities. Sushi whore.,HARLEM NY,Event planner. Door girl. Good time seeker. In my free time I enjoy botany.,,,25800,860,0,0,1,0,2,0,1,2,"[2012, 2013]",[2012],[],2,13.5,1281.60454546,92.5,12,2727.5,21,805.547537028,11.5,873,2,873,2,873,2
170,florenceandcalamity,5,24441,http://nanowrimo.org/participants/florenceandcalamity,,,"gaudy night, whose body, murder of roger ackroyd, pride & prejudice, jonathan strange & mr. norrell, pattern recognition, the difference engine, the diamond age, dorothy l. sayers, neil gaiman, jane austen, george eliot, agatha","Classical- no words, or else I get massively distracted!",,NYC,Literary agent,,,12220.5,407.35,1,0,0,0,2,0,0,2,"[2013, 2014]",[],[],2,7,2049.83333334,940,14.5,3362,15.5,906.92132823,4,7124,3,7124,3,7124,3
171,embereye,11,436698,http://nanowrimo.org/participants/embereye,,,"This is very difficult. How about authors I'd like to learn from? Octavia Butler, Rachel Pollack, Andre Norton, Joan Sloncewski, Zenna Henderson, Jim Butcher, Elizabeth Bear, Seanan McGuire, Charles Stross, Tamora Pierce, Mercedes Lackey, Alice Hoffman, Mur Lafferty, Caitlin R. Kiernan, Samuel R. Delaney, Elizabeth","Soundtracks mostly. If it's fast going, Tron music works, if it's slower, Upstream Color is best. If I'm looking for space, I have Mass Effect. If I'm looking for something wilder, I have Skyrim.","Reading all the books, playing most of the video games, making far too many terrible jokes","Brooklyn, NY","Freelance Writer, Content Manager, Game Designer",Municipal Liaison,,43669.8,1455.66,1,1,8,6,10,3,4,6,"[2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014]","[2004, 2005, 2006, 2007, 2009, 2010, 2013, 2014]","[2007, 2009, 2010, 2011, 2013, 2014]",10,4.2,991.135714286,256.6,1.8,2417.6,5.1,675.087695484,2.3,17090,7,17090,7,17090,7
172,Darkscribe,11,457706,http://nanowrimo.org/participants/Darkscribe,,,"The Lord of the Rings Trilogy, The Vampire Armand, MacBeth , JRR Tolkien, R.A. Salvatore, Neil","Punk, Metal, Rock, Pop, Cartoon Theme songs","crochet, plush making, music, knitting, spinning",New York City,Market Reasearch Analyst,,,41609.6363636,1386.98787879,1,0,8,3,11,3,8,11,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2008, 2009, 2010]",11,7.63636363636,959.90828877,84.9090909091,2.72727272727,3211.18181818,8.72727272727,704.361272148,6.27272727273,2720,2,2720,2,2720,2
173,ClaudyKeira,5,11635,http://nanowrimo.org/participants/ClaudyKeira,,,,Scores and Celtic Music,Movies,,,,,11635,387.833333333,1,0,0,0,1,0,0,1,[2011],[],[],1,7,1662.14285714,-656,2,3151,5,1348.20721474,6,18626,7,18626,7,18626,7
174,cinnamon.quill,7,0,http://nanowrimo.org/participants/cinnamon-quill,,,,,,Quill Café,Aspiring,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,6116,2,6116,2,6116,2
175,AxmxZ,9,67143,http://nanowrimo.org/participants/AxmxZ,,,"Viktor Pelevin, Umberto Eco, John Fowles, PG",Beirutnights.com,reading and beading,"Chicago, Illinois",,,,16785.75,559.525,0,0,0,0,4,0,0,4,"[2011, 2012, 2013, 2014]",[],[],4,8.75,1446.65277778,0,1,3805.5,11.25,1020.33733529,5.75,7085,7,7085,7,7085,7
176,aravis,8,15218,http://nanowrimo.org/participants/aravis,,,"""The Chronicles of Narnia"" series by C.S. Lewis; ""The Harry Potter"" series by J.K. Rowling; ""A Song of Ice and Fire"" series by George RR Martin; John Berendt; and, Greek",I prefer either the quiet or having friends nearby.,"Commentary, teaching and reading, reading, reading","New York, USA| Lefkada, Greece",I work in the ad-tech industry.,,,7609,253.633333333,0,0,0,0,2,0,0,1,"[2011, 2014]",[],[],2,3.5,2301.8,467.5,8.5,4476.5,17,1769.31435094,1,0,0,0,0,0,0
