,Writer Name,Genres
478,jedimarri,Fantasy
479,Dunx,"Horror/Supernatural, Science Fiction"
480,destaren,"nan, Fantasy, Religious, Spiritual & New Age, Adventure, Science Fiction"
481,Corvus Ptarmigan,"Science Fiction, Fantasy"
482,Chocolatequeen,"Historical Fiction, Romance, Fantasy, Historical, Satire/Humor, Fanfiction"
483,caillien,"nan, Mainstream, Fantasy, Choose Your Own Adventure, Mainstream Fiction, ALL OF THE ABOVE, Urban Fantasy"
484,Amanda Rose,Fantasy
485,aliblade22,"nan, Romance, Young Adult, Young Adult & Youth"
486,Adam Mayer,"Satire/Humor, Satire, Humor & Parody"
487,artofcheatery,"Science Fiction, Fantasy, Distopian Superhero, Dieselpunk Fantasy, Urban Fantasy"
488,zbluesy,"Young Adult, Young Adult & Youth"
489,WJ Cintron,Thriller/Suspense
490,Twinkle Toes the Berserker,"Science Fiction, Fantasy"
491,Trillian Anderson,Fantasy
492,thePeoplesVictory,Fantasy
493,TFWilde,Erotic
494,syaffolee,"Mystery, Western/Biopunk, Dark Fantasy/Dieselpunk, Steampunk, Science Fiction Horror, Dark Fantasy, Science Fantasy, Science Fiction, Adventure/Magic Realism, Historical Fantasy, Fantasy Adventure, Fantasy Horror, Urban Fantasy"
495,SpidEMcD,"Romance, Mainstream Fiction, Mainstream, Mystery, Thriller & Suspense"
496,snakejuice,"Horror/Supernatural, Horror & Supernatural"
497,sleepers,"Horror/Supernatural, Young Adult & Youth"
498,skybluefusion,"nan, Mainstream Fiction, A little bit of everything, Historical/Supernatural, Historical"
499,shelley4peace,Coming of Age (A Little Late)
500,Shadowsong_cc,"Science Fiction, Fantasy"
